Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2021-146703,10/21/2021,10/26/2021,Second Class,PO-18865,Patrick Taylor,Consumer,United States,Westland,Michigan,48185,1,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","221,92",4,"0,0","8,67"
2021-106376,12/06/2021,12/11/2021,Standard Class,BS-11590,Brendan Schmidt,Corporate,United States,Gilbert,Arizona,85234,3,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","1165,34",8,"0,2","113,86"
2021-106376,12/06/2021,12/11/2021,Standard Class,BS-11590,Brendan Schmidt,Corporate,United States,Gilbert,Arizona,85234,3,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,"175,86",4,"0,2","64,44"
2021-147606,11/27/2021,12/02/2021,Second Class,JE-15745,Joel Williams,Consumer,United States,Houston,Texas,77070,1,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","20,21",5,"0,6","-14,81"
2021-139451,10/13/2021,10/17/2021,Standard Class,DN-13690,Duane Smith,Consumer,United States,San Francisco,California,94122,3,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","15,6",5,"0,0","4,27"
2021-139451,10/13/2021,10/17/2021,Standard Class,DN-13690,Duane Smith,Consumer,United States,San Francisco,California,94122,3,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","22,4",1,"0,0","6,35"
2021-115259,08/26/2021,08/28/2021,Second Class,RC-19960,Ryan Nelson,Consumer,United States,Columbus,Ohio,43229,0,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes","41,98",14,"0,2","14,87"
2021-115259,08/26/2021,08/28/2021,Second Class,RC-19960,Ryan Nelson,Consumer,United States,Columbus,Ohio,43229,0,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","4,94",2,"0,2","1,69"
2021-115259,08/26/2021,08/28/2021,Second Class,RC-19960,Ryan Nelson,Consumer,United States,Columbus,Ohio,43229,0,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,"25,1",3,"0,2","7,66"
2021-115259,08/26/2021,08/28/2021,Second Class,RC-19960,Ryan Nelson,Consumer,United States,Columbus,Ohio,43229,0,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","136,6",6,"0,2","45,04"
2021-152030,12/27/2021,12/29/2021,Second Class,AD-10180,Alan Evans,Home Office,United States,Houston,Texas,77041,1,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"628,78",3,"0,3","-8,78"
2021-134614,09/21/2021,09/26/2021,Standard Class,PF-19165,Philip Wright,Consumer,United States,Bloomington,Illinois,61701,1,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,"646,73",6,"0,5","-417,06"
2021-110072,10/23/2021,10/29/2021,Standard Class,MG-17680,Maureen Hughes,Home Office,United States,Newark,Ohio,43055,0,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock","98,3",4,"0,2","13,21"
2021-104269,03/02/2021,03/07/2021,Second Class,DB-13060,Dave Taylor,Consumer,United States,Seattle,Washington,98115,3,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"479,07",2,"0,2","52,66"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,"10,4",3,"0,2","2,8"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"8543,47",8,"0,4","-1391,27"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,"288,9",3,"0,2","-59,98"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,"1821,84",9,"0,3","-25,43"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,"33,57",6,"0,2","6,97"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,"186,35",5,"0,8","-464,29"
2021-139892,09/09/2021,09/13/2021,Standard Class,BM-11140,Becky Wright,Consumer,United States,San Antonio,Texas,78207,1,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,"150,74",3,"0,2","9,21"
2021-118962,08/06/2021,08/10/2021,Standard Class,CS-12130,Chad Carter,Consumer,United States,Los Angeles,California,90004,3,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11","21,92",3,"0,0","10,07"
2021-118962,08/06/2021,08/10/2021,Standard Class,CS-12130,Chad Carter,Consumer,United States,Los Angeles,California,90004,3,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,"116,18",2,"0,0","54,49"
2021-118962,08/06/2021,08/10/2021,Standard Class,CS-12130,Chad Carter,Consumer,United States,Los Angeles,California,90004,3,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray","356,13",7,"0,2","21,75"
2021-100853,09/15/2021,09/20/2021,Standard Class,JB-15400,Jennifer Allen,Corporate,United States,Chicago,Illinois,60623,1,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"54,91",2,"0,8","-134,14"
2021-100853,09/15/2021,09/20/2021,Standard Class,JB-15400,Jennifer Allen,Corporate,United States,Chicago,Illinois,60623,1,OFF-LA-10003148,Office Supplies,Labels,Avery 51,"21,11",4,"0,2","6,7"
2021-166191,12/06/2021,12/10/2021,Second Class,DK-13150,David Gomez,Corporate,United States,Decatur,Illinois,62521,1,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black","25,98",2,"0,2","1,9"
2021-166191,12/06/2021,12/10/2021,Second Class,DK-13150,David Gomez,Corporate,United States,Decatur,Illinois,62521,1,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,"427,95",7,"0,2","78,4"
2021-158274,11/20/2021,11/26/2021,Second Class,RM-19675,Robert Johnson,Home Office,United States,Monroe,Louisiana,71203,2,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,"527,65",4,"0,0","134,04"
2021-158274,11/20/2021,11/26/2021,Second Class,RM-19675,Robert Johnson,Home Office,United States,Monroe,Louisiana,71203,2,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),"157,0",5,"0,0","42,95"
2021-158274,11/20/2021,11/26/2021,Second Class,RM-19675,Robert Johnson,Home Office,United States,Monroe,Louisiana,71203,2,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,"30,36",2,"0,0","7,42"
2021-123260,08/27/2021,08/31/2021,Standard Class,FM-14290,Frank James,Home Office,United States,Los Angeles,California,90032,3,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"185,11",8,"0,0","23,51"
2021-140004,03/22/2021,03/26/2021,Standard Class,CB-12025,Cassandra Long,Consumer,United States,Hamilton,Ohio,45011,0,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","7,76",2,"0,2","1,23"
2021-140004,03/22/2021,03/26/2021,Standard Class,CB-12025,Cassandra Long,Consumer,United States,Hamilton,Ohio,45011,0,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","6,33",3,"0,2","1,62"
2021-133690,08/04/2021,08/06/2021,First Class,BS-11755,Bruce Campbell,Consumer,United States,Denver,Colorado,80219,3,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,"229,03",2,"0,5","-165,6"
2021-133690,08/04/2021,08/06/2021,First Class,BS-11755,Bruce Campbell,Consumer,United States,Denver,Colorado,80219,3,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack","2,72",1,"0,2","0,3"
2021-156216,09/14/2021,09/18/2021,Standard Class,EA-14035,Erin Davis,Corporate,United States,Charlotte,North Carolina,28205,2,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,"19,52",7,"0,7","-12,72"
2021-131926,06/02/2021,06/07/2021,Second Class,DW-13480,Dianna Young,Home Office,United States,Lakeville,Minnesota,55044,1,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"2095,95",7,"0,0","593,89"
2021-131926,06/02/2021,06/07/2021,Second Class,DW-13480,Dianna Young,Home Office,United States,Lakeville,Minnesota,55044,1,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,"174,56",2,"0,0","42,64"
2021-131926,06/02/2021,06/07/2021,Second Class,DW-13480,Dianna Young,Home Office,United States,Lakeville,Minnesota,55044,1,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","50,13",6,"0,0","24,49"
2021-131926,06/02/2021,06/07/2021,Second Class,DW-13480,Dianna Young,Home Office,United States,Lakeville,Minnesota,55044,1,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,"1573,9",5,"0,0","507,48"
2021-131926,06/02/2021,06/07/2021,Second Class,DW-13480,Dianna Young,Home Office,United States,Lakeville,Minnesota,55044,1,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,"27,14",4,"0,0","12,73"
2021-106992,09/20/2021,09/22/2021,Second Class,SB-20290,Sean Perez,Corporate,United States,Houston,Texas,77036,1,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"3203,8",3,"0,4","-521,73"
2021-106992,09/20/2021,09/22/2021,Second Class,SB-20290,Sean Perez,Corporate,United States,Houston,Texas,77036,1,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,"2638,4",7,"0,4","-257,79"
2021-111451,12/27/2021,12/29/2021,First Class,KL-16555,Kelly Adams,Corporate,United States,Colorado Springs,Colorado,80906,3,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock","314,54",8,"0,2","80,67"
2021-111451,12/27/2021,12/29/2021,First Class,KL-16555,Kelly Adams,Corporate,United States,Colorado Springs,Colorado,80906,3,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,"241,18",3,"0,2","20,62"
2021-111451,12/27/2021,12/29/2021,First Class,KL-16555,Kelly Adams,Corporate,United States,Colorado Springs,Colorado,80906,3,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,"228,61",3,"0,2","-25,13"
2021-111451,12/27/2021,12/29/2021,First Class,KL-16555,Kelly Adams,Corporate,United States,Colorado Springs,Colorado,80906,3,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,"82,29",5,"0,7","-64,33"
2021-111451,12/27/2021,12/29/2021,First Class,KL-16555,Kelly Adams,Corporate,United States,Colorado Springs,Colorado,80906,3,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","28,85",3,"0,2","9,51"
2021-130960,12/31/2021,01/06/2021,Standard Class,KB-16600,Ken Lewis,Corporate,United States,Taylor,Michigan,48180,1,OFF-AR-10003651,Office Supplies,Art,Newell 350,"10,3",3,"0,0","2,92"
2021-111003,06/02/2021,06/07/2021,Standard Class,CR-12625,Corey Smith,Home Office,United States,Lakewood,New Jersey,8701,0,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","47,62",3,"0,0","21,4"
2021-111003,06/02/2021,06/07/2021,Standard Class,CR-12625,Corey Smith,Home Office,United States,Lakewood,New Jersey,8701,0,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,"302,79",6,"0,0","85,8"
2021-120887,09/28/2021,10/04/2021,Standard Class,TS-21205,Thomas Jenkins,Corporate,United States,Hackensack,New Jersey,7601,0,FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black","91,65",3,"0,0","38,51"
2021-167850,08/10/2021,08/17/2021,Standard Class,AG-10525,Andy Robinson,Corporate,United States,Saint Petersburg,Florida,33710,2,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,"186,77",2,"0,2","22,81"
2021-167850,08/10/2021,08/17/2021,Standard Class,AG-10525,Andy Robinson,Corporate,United States,Saint Petersburg,Florida,33710,2,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,"16,28",3,"0,2","5,57"
2021-164259,12/29/2021,12/31/2021,First Class,SP-20860,Sung Evans,Corporate,United States,Philadelphia,Pennsylvania,19143,0,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670","103,8",4,"0,2","8,87"
2021-164973,11/05/2021,11/10/2021,Standard Class,NM-18445,Nathan Walker,Home Office,United States,New York City,New York,10024,0,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,"142,27",1,"0,1","24,71"
2021-164973,11/05/2021,11/10/2021,Standard Class,NM-18445,Nathan Walker,Home Office,United States,New York City,New York,10024,0,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,"4179,6",2,"0,0","2041,9"
2021-164973,11/05/2021,11/10/2021,Standard Class,NM-18445,Nathan Walker,Home Office,United States,New York City,New York,10024,0,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,"288,91",6,"0,0","81,86"
2021-164973,11/05/2021,11/10/2021,Standard Class,NM-18445,Nathan Walker,Home Office,United States,New York City,New York,10024,0,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,"376,92",4,"0,0","132,58"
2021-164973,11/05/2021,11/10/2021,Standard Class,NM-18445,Nathan Walker,Home Office,United States,New York City,New York,10024,0,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black","45,62",1,"0,0","13,37"
2021-156601,09/20/2021,09/25/2021,Standard Class,FA-14230,Frank Clark,Corporate,United States,Long Beach,California,90805,3,OFF-FA-10000624,Office Supplies,Fasteners,OIC Binder Clips,"7,5",2,"0,0","3,66"
2021-129924,07/13/2021,07/18/2021,Standard Class,AC-10420,Alyssa Davis,Corporate,United States,San Francisco,California,94122,3,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,"8,07",2,"0,2","2,86"
2021-129924,07/13/2021,07/18/2021,Standard Class,AC-10420,Alyssa Davis,Corporate,United States,San Francisco,California,94122,3,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,"731,17",3,"0,2","-17,86"
2021-122336,04/14/2021,04/18/2021,Second Class,JD-15895,Jonathan Hughes,Corporate,United States,Philadelphia,Pennsylvania,19140,0,OFF-AR-10000122,Office Supplies,Art,Newell 314,"18,7",4,"0,2","1,14"
2021-122336,04/14/2021,04/18/2021,Second Class,JD-15895,Jonathan Hughes,Corporate,United States,Philadelphia,Pennsylvania,19140,0,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,"533,94",10,"0,7","-417,36"
2021-122336,04/14/2021,04/18/2021,Second Class,JD-15895,Jonathan Hughes,Corporate,United States,Philadelphia,Pennsylvania,19140,0,OFF-FA-10002780,Office Supplies,Fasteners,Staples,"32,45",13,"0,2","10,3"
2021-122336,04/14/2021,04/18/2021,Second Class,JD-15895,Jonathan Hughes,Corporate,United States,Philadelphia,Pennsylvania,19140,0,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","75,31",12,"0,4","8,58"
2021-123344,09/25/2021,09/30/2021,Standard Class,JD-16060,Julia Jenkins,Consumer,United States,San Francisco,California,94109,3,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","221,92",4,"0,0","8,67"
2021-119137,07/24/2021,07/28/2021,Standard Class,AG-10900,Arthur Jackson,Consumer,United States,Tucson,Arizona,85705,3,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,"8,54",5,"0,7","-5,84"
2021-119137,07/24/2021,07/28/2021,Standard Class,AG-10900,Arthur Jackson,Consumer,United States,Tucson,Arizona,85705,3,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,"1072,06",8,"0,2","183,31"
2021-119137,07/24/2021,07/28/2021,Standard Class,AG-10900,Arthur Jackson,Consumer,United States,Tucson,Arizona,85705,3,OFF-AR-10000658,Office Supplies,Art,Newell 324,"9,67",1,"0,2","0,95"
2021-119137,07/24/2021,07/28/2021,Standard Class,AG-10900,Arthur Jackson,Consumer,United States,Tucson,Arizona,85705,3,TEC-AC-10002076,Technology,Accessories,Microsoft Natural Keyboard Elite,"501,55",10,"0,2","-30,63"
2021-115973,11/26/2021,11/27/2021,First Class,NG-18430,Nathan Allen,Consumer,United States,Cincinnati,Ohio,45231,0,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,"2,75",1,"0,2","0,44"
2021-135972,09/22/2021,09/24/2021,Second Class,JG-15115,Jack Evans,Consumer,United States,Des Moines,Washington,98198,3,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,"257,96",2,"0,2","28,36"
2021-135972,09/22/2021,09/24/2021,Second Class,JG-15115,Jack Evans,Consumer,United States,Des Moines,Washington,98198,3,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,"1884,57",3,"0,0","718,13"
2021-134971,06/08/2021,06/11/2021,Second Class,BP-11095,Bart Ward,Corporate,United States,Peoria,Illinois,61604,1,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,"13,05",3,"0,8","-21,04"
2021-113166,12/26/2021,12/27/2021,First Class,LF-17185,Luke Phillips,Consumer,United States,Miami,Florida,33180,2,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,"10,02",2,"0,2","3,55"
2021-155208,04/17/2021,04/21/2021,Standard Class,SP-20650,Stephanie Ellis,Corporate,United States,Wilmington,North Carolina,28403,2,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","40,91",6,"0,2","9,99"
2021-142048,06/23/2021,06/26/2021,First Class,JE-15745,Joel Williams,Consumer,United States,Louisville,Colorado,80027,3,TEC-AC-10004114,Technology,Accessories,KeyTronic 6101 Series - Keyboard - Black,"206,0",6,"0,2","57,87"
2021-101476,09/13/2021,09/14/2021,First Class,SD-20485,Shirley Jones,Home Office,United States,New Rochelle,New York,10801,0,TEC-MA-10000029,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner","73,28",1,"0,0","30,79"
2021-150574,12/20/2021,12/26/2021,Standard Class,MK-18160,Mike Wright,Consumer,United States,Jacksonville,Florida,32216,2,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,"5,04",2,"0,7","-3,77"
2021-150574,12/20/2021,12/26/2021,Standard Class,MK-18160,Mike Wright,Consumer,United States,Jacksonville,Florida,32216,2,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,"259,45",5,"0,2","-19,01"
2021-110674,02/13/2021,02/19/2021,Standard Class,SC-20095,Sanjit Gonzalez,Consumer,United States,Concord,California,94521,3,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray","135,66",2,"0,2","-24,85"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,"356,94",3,"0,0","3,49"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish","233,13",2,"0,15","10,72"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,"737,05",4,"0,2","90,02"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue","96,87",6,"0,0","25,55"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""","65,59",7,"0,0","29,48"
2021-144666,11/10/2021,11/12/2021,Second Class,JP-15520,Jeremy Russell,Consumer,United States,San Francisco,California,94110,3,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,"99,31",5,"0,0","46,58"
2021-134677,10/07/2021,10/11/2021,Standard Class,XP-21865,Xylona Williams,Consumer,United States,San Diego,California,92024,3,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,"9,52",3,"0,0","1,95"
2021-127691,07/23/2021,07/28/2021,Standard Class,EM-14065,Erin Adams,Consumer,United States,New York City,New York,10024,0,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","6,24",2,"0,0","1,71"
2021-127691,07/23/2021,07/28/2021,Standard Class,EM-14065,Erin Adams,Consumer,United States,New York City,New York,10024,0,TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,"167,5",2,"0,0","58,92"
2021-154627,10/30/2021,11/01/2021,First Class,SA-20830,Sue Vasquez,Consumer,United States,Chicago,Illinois,60610,1,TEC-PH-10001363,Technology,Phones,Apple iPhone 14,"2864,54",6,"0,2","349,86"
2021-133753,06/10/2021,06/14/2021,Second Class,CW-11905,Carl Myers,Home Office,United States,Huntsville,Texas,77340,1,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,"8,37",1,"0,2","0,61"
2021-133753,06/10/2021,06/14/2021,Second Class,CW-11905,Carl Myers,Home Office,United States,Huntsville,Texas,77340,1,TEC-AC-10000303,Technology,Accessories,Logitech M510 Wireless Mouse,"66,99",2,"0,2","10,64"
2021-133753,06/10/2021,06/14/2021,Second Class,CW-11905,Carl Myers,Home Office,United States,Huntsville,Texas,77340,1,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,"73,68",2,"0,2","6,3"
2021-113362,09/15/2021,09/20/2021,Standard Class,AJ-10960,Astrea Martinez,Consumer,United States,Rochester,New York,14609,0,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,"470,26",5,"0,0","9,19"
2021-113362,09/15/2021,09/20/2021,Standard Class,AJ-10960,Astrea Martinez,Consumer,United States,Rochester,New York,14609,0,OFF-EN-10003845,Office Supplies,Envelopes,Colored Envelopes,"11,59",3,"0,0","5,21"
2021-140795,02/02/2021,02/04/2021,First Class,BD-11500,Bradley Rivera,Consumer,United States,Green Bay,Wisconsin,54302,1,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,"490,94",6,"0,0","211,06"
